Country,Continent,ISO_Code,Level,GDLCODE,Region,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Indonesia","Asia/Pacific","IDN","National","IDNt","Total",,,0.01,5.79,11.6,17.4,24.8,32.3,39.8,47.3,54.8,62.3,63.9,65.5,67.1,68.7,71.6,74.6,77.5,80.4,83.3,84.4,85.5,86.6,87.7,88.7,89.8,90.9,92.0
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr116","Bali",,,0.01,7.44,14.9,22.3,31.6,41.0,50.3,59.6,69.0,78.3,78.6,78.9,79.2,79.5,81.0,82.5,84.0,85.4,86.9,87.5,88.0,88.5,89.1,89.6,90.1,90.7,91.2
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr109","Bangka Belitung",,,,,,,,,55.0,58.5,61.9,65.4,68.8,72.3,75.7,79.2,81.5,83.8,86.1,88.5,90.8,90.8,90.7,90.7,90.7,90.7,90.7,90.7,90.6
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr115","Banten",,,,,,,,,71.9,72.3,72.7,73.1,73.5,73.9,74.3,74.7,77.2,79.8,82.4,85.0,87.6,88.6,89.7,90.8,91.8,92.9,94.0,95.0,96.1
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr107","Bengkulu",,,14.0,18.4,22.7,27.1,31.4,35.8,40.1,44.5,48.8,53.2,54.1,55.0,55.9,56.8,60.5,64.2,67.8,71.5,75.2,78.1,81.0,83.9,86.8,89.7,92.6,95.5,98.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr112","Central Java",,,0.01,6.53,13.1,19.6,26.3,33.1,39.9,46.7,53.4,60.2,63.1,66.0,68.9,71.9,75.1,78.3,81.5,84.7,87.9,88.8,89.6,90.4,91.3,92.1,92.9,93.8,94.6
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr121","Central Kalimantan",,,0.01,5.41,10.8,16.2,23.2,30.3,37.3,44.3,51.3,58.4,59.0,59.7,60.4,61.1,65.4,69.8,74.1,78.5,82.9,83.2,83.6,83.9,84.2,84.6,84.9,85.3,85.6
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr125","Central Sulawesi",,,0.01,1.86,3.71,5.56,11.2,16.9,22.6,28.3,34.0,39.6,41.2,42.8,44.4,46.1,50.3,54.6,58.9,63.1,67.4,69.2,71.1,72.9,74.7,76.6,78.4,80.2,82.1
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr101","DI Aceh",,,0.01,2.05,4.08,6.12,10.9,15.7,20.4,25.2,30.0,34.8,39.5,44.3,49.1,53.9,58.1,62.3,66.5,70.7,74.9,76.0,77.1,78.2,79.3,80.4,81.5,82.6,83.7
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr113","DI Yogyakarta",,,7.44,14.0,20.5,27.1,33.6,40.2,46.7,53.3,59.8,66.4,68.7,71.1,73.4,75.7,77.7,79.6,81.5,83.5,85.4,86.3,87.1,88.0,88.8,89.7,90.5,91.3,92.2
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr110","DKI Jakarta",,,0.01,1.53,3.04,4.56,18.6,32.7,46.7,60.8,74.8,88.9,90.0,91.1,92.2,93.3,93.7,94.1,94.5,95.0,95.4,95.7,95.9,96.2,96.4,96.7,96.9,97.2,97.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr114","East Java",,,0.01,5.12,10.2,15.3,23.5,31.7,39.9,48.0,56.2,64.4,65.0,65.7,66.4,67.0,70.5,74.0,77.4,80.9,84.4,85.8,87.2,88.6,90.0,91.4,92.8,94.2,95.6
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr123","East Kalimantan",,,0.01,4.50,8.99,13.5,25.0,36.5,48.0,59.6,71.1,82.6,82.0,81.4,80.8,80.2,82.9,85.6,88.3,91.0,93.7,93.8,93.8,93.9,94.0,94.0,94.1,94.1,94.2
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr118","East Nusa Tenggara",,,1.20,2.40,3.61,4.81,6.02,7.22,8.43,9.63,10.8,12.0,14.8,17.5,20.3,23.0,25.6,28.1,30.7,33.2,35.8,36.8,37.9,38.9,40.0,41.1,42.1,43.2,44.2
