Country,Continent,ISO_Code,Level,GDLCODE,Region,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Indonesia","Asia/Pacific","IDN","National","IDNt","Total",,,16.1,17.6,19.1,20.6,22.1,23.6,25.1,26.6,28.1,29.6,33.4,37.3,41.2,45.0,49.4,53.8,58.1,62.5,66.9,69.3,71.7,74.0,76.4,78.8,81.2,83.6,85.9
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr116","Bali",,,32.5,35.5,38.5,41.5,44.5,47.5,50.5,53.5,56.5,59.6,62.2,64.9,67.6,70.3,73.1,75.9,78.8,81.6,84.5,85.0,85.5,86.0,86.5,87.0,87.5,88.0,88.5
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr109","Bangka Belitung",,,,,,,,,50.5,53.5,56.5,59.6,62.6,65.6,68.6,71.6,75.4,79.2,83.0,86.7,90.5,91.0,91.4,91.9,92.3,92.8,93.3,93.7,94.2
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr115","Banten",,,,,,,,,22.6,25.9,29.2,32.5,35.7,39.0,42.3,45.6,50.5,55.5,60.4,65.3,70.3,72.4,74.5,76.6,78.8,80.9,83.0,85.2,87.3
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr107","Bengkulu",,,5.69,7.74,9.80,11.9,13.9,16.0,18.0,20.1,22.1,24.2,29.1,34.0,38.9,43.8,49.3,54.7,60.2,65.6,71.1,73.9,76.8,79.6,82.5,85.3,88.1,91.0,93.8
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr112","Central Java",,,16.8,17.9,18.9,19.9,21.0,22.0,23.0,24.1,25.1,26.1,30.6,35.0,39.4,43.9,48.6,53.4,58.2,62.9,67.7,70.3,72.9,75.4,78.0,80.6,83.2,85.7,88.3
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr121","Central Kalimantan",,,12.9,16.0,19.1,22.1,25.2,28.2,31.3,34.4,37.4,40.5,43.6,46.6,49.7,52.8,56.3,59.8,63.4,66.9,70.5,73.1,75.7,78.3,80.9,83.5,86.1,88.7,91.3
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr125","Central Sulawesi",,,12.5,14.4,16.2,18.1,19.9,21.8,23.7,25.5,27.4,29.2,30.0,30.7,31.5,32.2,38.0,43.7,49.5,55.2,60.9,64.3,67.8,71.2,74.6,78.0,81.4,84.8,88.2
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr101","DI Aceh",,,20.3,22.4,24.5,26.5,28.6,30.7,32.7,34.8,36.9,38.9,41.0,43.1,45.1,47.2,52.5,57.9,63.2,68.5,73.9,75.7,77.4,79.2,81.0,82.8,84.5,86.3,88.1
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr113","DI Yogyakarta",,,30.0,31.4,32.9,34.3,35.7,37.2,38.6,40.0,41.5,42.9,47.2,51.6,56.0,60.3,63.0,65.7,68.4,71.1,73.9,75.9,78.0,80.0,82.1,84.2,86.2,88.3,90.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr110","DKI Jakarta",,,27.3,28.5,29.8,31.0,32.3,33.6,34.8,36.1,37.3,38.6,43.0,47.4,51.9,56.3,59.6,62.9,66.3,69.6,72.9,74.8,76.6,78.5,80.3,82.2,84.0,85.9,87.7
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr114","East Java",,,16.2,18.8,21.3,23.9,26.5,29.0,31.6,34.2,36.8,39.3,42.3,45.3,48.2,51.2,55.0,58.8,62.7,66.5,70.3,73.0,75.7,78.5,81.2,83.9,86.6,89.4,92.1
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr123","East Kalimantan",,,32.1,34.4,36.7,38.9,41.2,43.5,45.7,48.0,50.3,52.6,56.2,59.9,63.5,67.2,70.8,74.4,77.9,81.5,85.1,85.9,86.8,87.7,88.6,89.5,90.4,91.3,92.2
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr118","East Nusa Tenggara",,,4.00,4.27,4.54,4.81,5.08,5.35,5.63,5.90,6.17,6.44,9.60,12.8,15.9,19.1,21.6,24.2,26.7,29.3,31.8,33.7,35.6,37.5,39.4,41.3,43.2,45.0,46.9
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr119","East Timor",,,7.58,7.58,7.58,7.58,7.58,7.58,7.58,,,,,,,,,,,,,,,,,,,,
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr128","Gorontalo",,,,,,,,,0.17,3.80,7.44,11.1,14.7,18.3,22.0,25.6,30.3,35.0,39.7,44.4,49.1,52.9,56.6,60.3,64.1,67.8,71.6,75.3,79.0
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr130","Irian Jaya (Papua and Papua Barat)",,,12.6,13.9,15.2,16.5,17.9,19.2,20.5,21.8,23.1,24.5,25.8,27.1,28.4,29.7,29.9,30.1,30.3,30.4,30.6,34.9,39.2,43.5,47.8,52.1,56.4,60.7,65.0
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr105","Jambi",,,23.2,23.8,24.4,25.1,25.7,26.3,26.9,27.6,28.2,28.8,38.4,48.0,57.5,67.1,69.2,71.3,73.4,75.6,77.7,79.5,81.3,83.1,84.9,86.7,88.5,90.3,92.1
