Country,Continent,ISO_Code,Level,GDLCODE,Region,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Indonesia","Asia/Pacific","IDN","National","IDNt","Total",,,,,,,,,0.01,4.28,8.55,12.8,20.1,27.5,34.8,42.1,50.4,58.6,66.8,75.1,83.3,84.4,85.6,86.7,87.9,89.0,90.2,91.3,92.5
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr116","Bali",,,,,,,,,0.01,6.46,12.9,19.4,28.4,37.5,46.6,55.7,62.4,69.1,75.8,82.5,89.2,89.6,90.1,90.5,91.0,91.4,91.9,92.3,92.8
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr109","Bangka Belitung",,,,,,,,,0.01,3.95,7.90,11.8,24.5,37.2,49.8,62.5,68.3,74.1,80.0,85.8,91.6,91.7,91.7,91.8,91.9,92.0,92.0,92.1,92.2
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr115","Banten",,,,,,,,,8.24,13.6,19.0,24.4,29.8,35.1,40.5,45.9,53.9,61.9,69.9,78.0,86.0,87.0,88.0,89.1,90.1,91.2,92.2,93.2,94.3
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr107","Bengkulu",,,,,,,,,0.01,2.53,5.05,7.57,15.1,22.7,30.3,37.8,47.6,57.3,67.1,76.8,86.6,87.6,88.7,89.8,90.8,91.9,92.9,94.0,95.1
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr112","Central Java",,,,,,,,,0.01,2.21,4.42,6.62,14.5,22.3,30.2,38.0,46.1,54.2,62.3,70.3,78.4,80.0,81.5,83.1,84.6,86.2,87.7,89.3,90.8
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr121","Central Kalimantan",,,,,,,,,0.01,3.11,6.21,9.31,17.0,24.6,32.3,39.9,50.3,60.8,71.2,81.6,92.1,92.0,92.0,92.0,92.0,91.9,91.9,91.9,91.9
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr125","Central Sulawesi",,,,,,,,,0.01,1.79,3.58,5.36,9.50,13.6,17.8,21.9,32.4,42.9,53.4,64.0,74.5,77.0,79.6,82.2,84.8,87.3,89.9,92.5,95.1
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr101","DI Aceh",,,,,,,,,,,,,7.75,17.4,27.1,36.8,46.4,56.1,65.7,75.4,85.1,85.6,86.1,86.6,87.0,87.5,88.0,88.5,89.0
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr113","DI Yogyakarta",,,,,,,,,0.01,6.36,12.7,19.1,28.4,37.7,47.0,56.3,61.8,67.4,72.9,78.5,84.0,85.2,86.4,87.6,88.9,90.1,91.3,92.5,93.7
