Country,Continent,ISO_Code,Level,GDLCODE,Region,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Indonesia","Asia/Pacific","IDN","National","IDNt","Total",,,8.02,9.13,10.2,11.4,12.5,13.6,14.7,15.8,16.9,18.0,19.8,21.6,23.5,25.3,28.2,31.2,34.1,37.1,40.0,43.4,46.8,50.2,53.5,56.9,60.3,63.7,67.0
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr116","Bali",,,5.05,7.34,9.64,11.9,14.2,16.5,18.8,21.1,23.4,25.7,27.3,29.0,30.6,32.3,34.7,37.1,39.5,41.9,44.3,47.3,50.3,53.3,56.3,59.3,62.3,65.4,68.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr109","Bangka Belitung",,,,,,,,,15.4,19.6,23.8,28.1,32.3,36.5,40.8,45.0,48.9,52.8,56.7,60.6,64.4,67.8,71.1,74.5,77.8,81.2,84.6,87.9,91.3
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr115","Banten",,,,,,,,,31.2,32.6,33.9,35.2,36.6,37.9,39.2,40.6,42.9,45.2,47.5,49.8,52.1,55.9,59.7,63.5,67.2,71.0,74.8,78.6,82.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr107","Bengkulu",,,2.83,4.18,5.54,6.89,8.25,9.60,11.0,12.3,13.7,15.0,17.0,18.9,20.9,22.8,26.4,29.9,33.4,37.0,40.5,45.0,49.5,54.0,58.5,63.0,67.5,72.0,76.5
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr112","Central Java",,,4.04,4.70,5.35,6.01,6.67,7.32,7.98,8.64,9.29,9.95,11.9,13.8,15.7,17.7,19.5,21.3,23.1,25.0,26.8,31.1,35.5,39.8,44.1,48.5,52.8,57.2,61.5
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr121","Central Kalimantan",,,0.01,1.95,3.90,5.84,8.19,10.5,12.9,15.2,17.6,19.9,20.6,21.3,22.0,22.8,26.3,29.9,33.4,37.0,40.6,43.8,47.0,50.2,53.5,56.7,59.9,63.1,66.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr125","Central Sulawesi",,,3.27,4.10,4.94,5.78,6.62,7.46,8.30,9.13,9.97,10.8,11.9,13.1,14.2,15.3,19.1,22.9,26.6,30.4,34.2,36.6,39.1,41.5,44.0,46.4,48.9,51.3,53.8
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr101","DI Aceh",,,4.22,5.70,7.17,8.65,10.1,11.6,13.1,14.6,16.0,17.5,19.0,20.5,21.9,23.4,28.1,32.7,37.4,42.1,46.7,49.8,52.9,55.9,59.0,62.0,65.1,68.2,71.2
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr113","DI Yogyakarta",,,6.20,6.98,7.76,8.54,9.32,10.1,10.9,11.7,12.4,13.2,16.2,19.1,22.1,25.0,27.5,29.9,32.3,34.8,37.2,40.1,43.0,45.9,48.8,51.7,54.6,57.5,60.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr110","DKI Jakarta",,,50.8,51.2,51.6,52.0,52.4,52.8,53.2,53.6,54.0,54.4,56.7,59.1,61.5,63.9,65.6,67.3,69.0,70.7,72.4,74.1,75.9,77.6,79.3,81.0,82.8,84.5,86.2
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr114","East Java",,,3.86,5.23,6.61,7.99,9.37,10.7,12.1,13.5,14.9,16.3,17.1,18.0,18.9,19.7,22.1,24.5,26.9,29.3,31.7,36.1,40.6,45.1,49.5,54.0,58.4,62.9,67.3
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr123","East Kalimantan",,,17.2,19.7,22.2,24.7,27.2,29.8,32.3,34.8,37.3,39.8,40.9,41.9,43.0,44.0,48.9,53.7,58.5,63.3,68.2,70.7,73.2,75.8,78.3,80.9,83.4,86.0,88.5
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr118","East Nusa Tenggara",,,1.60,1.69,1.78,1.87,1.96,2.05,2.14,2.23,2.32,2.41,3.83,5.24,6.66,8.07,9.51,10.9,12.4,13.8,15.3,15.6,16.0,16.4,16.8,17.1,17.5,17.9,18.3
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr119","East Timor",,,3.38,3.38,3.38,3.38,3.38,3.38,3.38,,,,,,,,,,,,,,,,,,,,
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr128","Gorontalo",,,,,,,,,0.01,2.12,4.24,6.35,9.10,11.9,14.6,17.4,20.1,22.8,25.5,28.2,31.0,35.7,40.5,45.3,50.0,54.8,59.6,64.3,69.1
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr130","Irian Jaya (Papua and Papua Barat)",,,13.7,14.1,14.5,14.8,15.2,15.6,15.9,16.3,16.7,17.0,17.4,17.8,18.1,18.5,19.4,20.3,21.2,22.1,23.0,25.2,27.5,29.8,32.1,34.4,36.7,39.0,41.3
