Country,Continent,ISO_Code,Level,GDLCODE,Region,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Indonesia","Asia/Pacific","IDN","National","IDNt","Total",,,,,,,,,,,,,,,,,,35.4,36.0,36.6,37.2,37.8,38.4,39.0,39.6,40.2,40.8,41.4,42.0
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr116","Bali",,,,,,,,,,,,,,,,,,46.0,46.5,47.1,47.7,48.2,48.8,49.3,49.9,50.4,51.0,51.5,52.1
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr109","Bangka Belitung",,,,,,,,,,,,,,,,,,28.9,29.8,30.7,31.5,32.4,33.2,34.1,35.0,35.8,36.7,37.5,38.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr115","Banten",,,,,,,,,,,,,,,,,,35.6,36.3,37.0,37.7,38.4,39.1,39.9,40.6,41.3,42.0,42.7,43.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr107","Bengkulu",,,,,,,,,,,,,,,,,,40.5,40.7,41.0,41.2,41.5,41.7,42.0,42.2,42.5,42.8,43.0,43.3
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr112","Central Java",,,,,,,,,,,,,,,,,,43.9,44.2,44.4,44.7,45.0,45.3,45.6,45.9,46.2,46.5,46.8,47.1
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr121","Central Kalimantan",,,,,,,,,,,,,,,,,,24.5,24.5,24.4,24.3,24.2,24.1,24.0,23.9,23.8,23.7,23.6,23.6
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr125","Central Sulawesi",,,,,,,,,,,,,,,,,,33.3,33.2,33.2,33.2,33.1,33.1,33.1,33.0,33.0,33.0,32.9,32.9
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr101","DI Aceh",,,,,,,,,,,,,,,,,,25.4,26.0,26.6,27.2,27.8,28.4,29.0,29.6,30.2,30.8,31.4,32.0
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr113","DI Yogyakarta",,,,,,,,,,,,,,,,,,51.5,49.0,46.6,44.1,41.7,39.2,36.8,34.3,31.9,29.4,27.0,24.5
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr110","DKI Jakarta",,,,,,,,,,,,,,,,,,33.6,33.1,32.6,32.1,31.6,31.0,30.5,30.0,29.5,29.0,28.5,28.0
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr114","East Java",,,,,,,,,,,,,,,,,,36.8,38.1,39.3,40.6,41.9,43.2,44.5,45.8,47.1,48.4,49.7,51.0
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr123","East Kalimantan",,,,,,,,,,,,,,,,,,31.7,32.3,33.0,33.6,34.2,34.8,35.4,36.0,36.6,37.2,37.8,38.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr118","East Nusa Tenggara",,,,,,,,,,,,,,,,,,31.2,33.0,34.8,36.6,38.4,40.1,41.9,43.7,45.5,47.3,49.1,50.8
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr128","Gorontalo",,,,,,,,,,,,,,,,,,32.4,32.9,33.4,33.9,34.4,34.9,35.4,35.9,36.4,36.9,37.4,37.9
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr130","Irian Jaya (Papua and Papua Barat)",,,,,,,,,,,,,,,,,,16.7,18.4,20.1,21.8,23.5,25.2,26.9,28.6,30.3,32.0,33.6,35.3
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr105","Jambi",,,,,,,,,,,,,,,,,,22.0,24.6,27.1,29.7,32.2,34.8,37.3,39.9,42.5,45.0,47.6,50.1
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr108","Lampung",,,,,,,,,,,,,,,,,,37.3,39.3,41.3,43.3,45.3,47.3,49.3,51.3,53.3,55.3,57.3,59.4
