Country,Continent,ISO_Code,Level,GDLCODE,Region,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Indonesia","Asia/Pacific","IDN","National","IDNt","Total",,,94.1,92.6,91.0,89.4,87.8,86.2,84.6,83.0,81.4,79.9,76.2,72.6,69.0,65.4,63.0,60.6,58.1,55.7,53.3,50.4,47.5,44.6,41.7,38.8,35.9,33.1,30.2
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr116","Bali",,,86.6,82.9,79.3,75.6,71.9,68.3,64.6,61.0,57.3,53.6,51.2,48.7,46.2,43.8,42.5,41.3,40.1,38.8,37.6,34.8,31.9,29.1,26.3,23.5,20.7,17.9,15.1
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr109","Bangka Belitung",,,,,,,,,94.2,87.5,80.9,74.2,67.5,60.8,54.2,47.5,45.8,44.0,42.3,40.6,38.9,35.8,32.7,29.7,26.6,23.5,20.5,17.4,14.3
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr115","Banten",,,,,,,,,75.1,72.6,70.1,67.7,65.2,62.7,60.2,57.8,55.1,52.4,49.8,47.1,44.4,40.7,36.9,33.1,29.4,25.6,21.8,18.1,14.3
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr107","Bengkulu",,,99.1,97.3,95.5,93.6,91.8,90.0,88.2,86.4,84.6,82.8,79.7,76.6,73.5,70.4,68.3,66.3,64.2,62.2,60.2,56.3,52.5,48.7,44.8,41.0,37.2,33.4,29.5
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr112","Central Java",,,95.0,94.1,93.2,92.3,91.4,90.5,89.5,88.6,87.7,86.8,82.9,79.1,75.2,71.3,68.6,65.8,63.1,60.3,57.6,53.8,50.1,46.3,42.6,38.8,35.1,31.3,27.6
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr121","Central Kalimantan",,,99.0,97.1,95.2,93.3,91.5,89.6,87.7,85.8,83.9,82.0,79.7,77.4,75.1,72.8,70.9,69.0,67.1,65.2,63.4,61.2,59.0,56.8,54.7,52.5,50.3,48.2,46.0
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr125","Central Sulawesi",,,99.2,97.8,96.5,95.2,93.8,92.5,91.1,89.8,88.5,87.1,84.8,82.4,80.0,77.6,75.1,72.6,70.1,67.6,65.1,63.2,61.4,59.6,57.7,55.9,54.0,52.2,50.3
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr101","DI Aceh",,,99.9,97.9,96.0,94.0,92.0,89.9,87.9,85.9,83.8,81.8,79.8,77.7,75.7,73.7,71.1,68.6,66.0,63.5,60.9,58.3,55.6,53.0,50.3,47.7,45.0,42.4,39.7
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr113","DI Yogyakarta",,,92.6,91.2,89.8,88.4,87.0,85.5,84.1,82.7,81.3,79.9,73.4,66.9,60.3,53.8,52.8,51.7,50.7,49.7,48.6,46.0,43.3,40.6,37.9,35.2,32.5,29.8,27.1
