Country,Continent,ISO_Code,Level,GDLCODE,Region,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Indonesia","Asia/Pacific","IDN","National","IDNt","Total",,,68.6,66.2,63.8,61.5,59.1,56.7,54.4,52.0,49.7,47.3,44.7,42.2,39.7,37.1,34.2,31.3,28.4,25.5,22.7,20.6,18.5,16.4,14.4,12.3,10.2,8.15,6.07
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr116","Bali",,,50.0,46.4,42.8,39.2,35.7,32.1,28.5,24.9,21.3,17.8,18.2,18.6,19.1,19.5,18.2,16.9,15.6,14.3,13.0,11.7,10.5,9.22,7.97,6.72,5.47,4.22,2.97
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr109","Bangka Belitung",,,,,,,,,40.2,37.7,35.1,32.6,30.0,27.4,24.9,22.3,20.1,17.8,15.5,13.2,10.9,10.1,9.21,8.35,7.50,6.64,5.78,4.93,4.07
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr115","Banten",,,,,,,,,27.0,28.5,30.0,31.6,33.1,34.6,36.1,37.6,34.0,30.4,26.8,23.2,19.6,17.4,15.2,12.9,10.7,8.45,6.21,3.98,1.74
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr107","Bengkulu",,,77.3,74.4,71.4,68.5,65.6,62.6,59.7,56.7,53.8,50.9,50.3,49.7,49.1,48.5,44.4,40.3,36.2,32.0,27.9,24.4,21.0,17.5,14.0,10.5,6.99,3.50,0.01
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr112","Central Java",,,74.7,72.7,70.8,68.8,66.9,64.9,63.0,61.1,59.1,57.2,53.0,48.7,44.5,40.3,36.7,33.1,29.5,25.9,22.3,20.1,18.0,15.8,13.6,11.4,9.21,7.03,4.84
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr121","Central Kalimantan",,,68.8,67.6,66.3,65.0,63.8,62.5,61.2,60.0,58.7,57.5,55.3,53.2,51.1,49.0,44.8,40.6,36.4,32.2,28.0,26.9,25.9,24.9,23.8,22.8,21.8,20.7,19.7
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr125","Central Sulawesi",,,84.1,81.3,78.4,75.6,72.7,69.9,67.0,64.2,61.3,58.5,56.9,55.4,53.8,52.3,49.4,46.6,43.8,41.0,38.2,35.2,32.3,29.3,26.3,23.3,20.3,17.3,14.3
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr101","DI Aceh",,,76.6,74.5,72.4,70.3,68.1,66.0,63.9,61.8,59.7,57.6,55.4,53.3,51.2,49.1,45.1,41.0,37.0,33.0,29.0,26.8,24.6,22.4,20.2,18.0,15.8,13.6,11.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr113","DI Yogyakarta",,,57.7,55.4,53.0,50.6,48.3,45.9,43.6,41.2,38.8,36.5,33.1,29.8,26.5,23.2,21.6,20.1,18.6,17.0,15.5,13.6,11.8,9.92,8.06,6.20,4.34,2.48,0.63
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr110","DKI Jakarta",,,18.0,16.7,15.4,14.1,12.8,11.5,10.3,8.97,7.69,6.40,5.78,5.16,4.53,3.91,3.94,3.97,3.99,4.02,4.05,3.63,3.22,2.80,2.39,1.97,1.55,1.14,0.72
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr114","East Java",,,80.2,76.5,72.8,69.1,65.4,61.7,58.0,54.3,50.6,46.9,45.9,45.0,44.1,43.2,39.1,35.0,30.9,26.9,22.8,20.5,18.2,15.8,13.5,11.2,8.86,6.53,4.21
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr123","East Kalimantan",,,34.5,33.2,31.8,30.4,29.0,27.7,26.3,24.9,23.5,22.2,21.8,21.4,21.1,20.7,18.3,15.8,13.4,10.9,8.47,7.67,6.88,6.08,5.29,4.49,3.69,2.90,2.10
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr118","East Nusa Tenggara",,,85.2,85.4,85.7,85.9,86.1,86.3,86.6,86.8,87.0,87.2,83.7,80.2,76.6,73.1,70.5,68.0,65.4,62.9,60.4,57.7,55.0,52.3,49.6,46.9,44.2,41.6,38.9
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr119","East Timor",,,84.4,84.4,84.4,84.4,84.4,84.4,84.4,,,,,,,,,,,,,,,,,,,,
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr128","Gorontalo",,,,,,,,,75.7,73.0,70.2,67.5,64.7,62.0,59.2,56.5,53.8,51.0,48.3,45.6,42.9,39.3,35.8,32.2,28.7,25.1,21.6,18.0,14.5
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr130","Irian Jaya (Papua and Papua Barat)",,,64.6,63.9,63.2,62.5,61.8,61.1,60.4,59.7,59.0,58.3,57.6,56.9,56.2,55.5,56.3,57.1,58.0,58.8,59.6,54.7,49.9,45.0,40.1,35.2,30.4,25.5,20.6
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr105","Jambi",,,79.7,76.2,72.6,69.1,65.5,61.9,58.4,54.8,51.3,47.7,44.5,41.3,38.1,34.9,33.3,31.8,30.2,28.6,27.0,23.2,19.5,15.7,11.9,8.07,5.38,2.70,0.01
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr108","Lampung",,,82.4,80.0,77.6,75.2,72.8,70.5,68.1,65.7,63.3,60.9,57.6,54.3,50.9,47.6,43.4,39.2,35.0,30.8,26.6,23.2,19.8,16.4,13.0,9.66,6.44,3.23,0.01
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr129","Maluku",,,83.4,80.9,78.4,75.9,73.4,70.9,68.4,65.9,63.4,60.9,58.4,55.9,53.4,50.9,48.1,45.3,42.5,39.7,36.9,34.9,32.8,30.8,28.8,26.8,24.8,22.8,20.8
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr124","North Sulawesi",,,72.2,68.7,65.1,61.6,58.1,54.5,51.0,47.5,44.0,40.4,38.0,35.5,33.1,30.6,29.4,28.1,26.9,25.7,24.4,21.4,18.4,15.3,12.3,9.26,6.23,3.20,0.17
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr102","North Sumatra",,,54.6,53.5,52.5,51.4,50.4,49.3,48.3,47.2,46.2,45.1,42.1,39.2,36.2,33.3,31.4,29.5,27.5,25.6,23.7,22.1,20.4,18.8,17.1,15.5,13.8,12.2,10.5
