Country,Continent,ISO_Code,Level,GDLCODE,Region,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Indonesia","Asia/Pacific","IDN","National","IDNt","Total",,,37.5,36.2,35.0,33.7,32.5,31.2,30.0,28.7,27.5,26.2,24.8,23.3,21.9,20.4,18.2,16.0,13.8,11.6,9.42,8.36,7.31,6.25,5.20,4.14,3.08,2.03,0.97
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr116","Bali",,,22.3,20.7,19.1,17.5,15.9,14.3,12.7,11.1,9.47,7.86,8.42,8.97,9.53,10.1,8.94,7.81,6.67,5.54,4.40,3.85,3.30,2.74,2.19,1.64,1.10,0.55,0.01
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr109","Bangka Belitung",,,,,,,,,13.2,12.6,12.1,11.6,11.0,10.5,9.93,9.39,7.95,6.51,5.07,3.63,2.19,2.08,1.97,1.87,1.76,1.65,1.54,1.43,1.33
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr115","Banten",,,,,,,,,14.1,14.8,15.6,16.3,17.1,17.9,18.6,19.4,17.1,14.7,12.4,10.1,7.75,6.77,5.80,4.82,3.85,2.87,1.92,0.96,0.01
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr107","Bengkulu",,,45.9,44.2,42.5,40.8,39.1,37.4,35.6,33.9,32.2,30.5,30.1,29.7,29.4,29.0,25.7,22.4,19.1,15.9,12.6,10.7,8.81,6.94,5.06,3.18,2.12,1.07,0.01
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr112","Central Java",,,36.5,36.4,36.3,36.2,36.2,36.1,36.0,35.9,35.8,35.7,32.8,29.8,26.9,24.0,20.8,17.7,14.6,11.4,8.27,7.28,6.30,5.31,4.33,3.34,2.35,1.37,0.38
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr121","Central Kalimantan",,,42.4,42.0,41.5,41.1,40.7,40.3,39.9,39.5,39.1,38.7,35.3,32.0,28.7,25.4,22.0,18.6,15.2,11.8,8.37,8.13,7.89,7.64,7.40,7.16,6.92,6.68,6.43
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr125","Central Sulawesi",,,48.3,46.7,45.1,43.5,41.9,40.4,38.8,37.2,35.6,34.0,33.6,33.3,32.9,32.6,30.3,28.0,25.8,23.5,21.3,19.0,16.7,14.4,12.1,9.79,7.50,5.20,2.91
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr101","DI Aceh",,,50.9,49.0,47.1,45.2,43.3,41.4,39.5,37.6,35.7,33.8,31.9,30.0,28.1,26.2,23.1,19.9,16.8,13.6,10.5,9.51,8.57,7.62,6.68,5.74,4.80,3.86,2.91
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr113","DI Yogyakarta",,,17.5,17.6,17.6,17.6,17.6,17.7,17.7,17.7,17.8,17.8,16.0,14.1,12.3,10.5,9.30,8.11,6.91,5.72,4.53,3.84,3.16,2.47,1.79,1.10,0.74,0.37,0.01
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr110","DKI Jakarta",,,1.05,0.96,0.88,0.79,0.70,0.62,0.53,0.44,0.36,0.27,0.25,0.23,0.21,0.19,0.20,0.21,0.23,0.24,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.27
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr114","East Java",,,45.4,43.4,41.4,39.5,37.5,35.5,33.5,31.6,29.6,27.6,27.2,26.8,26.4,26.0,22.6,19.2,15.7,12.3,8.86,7.96,7.06,6.15,5.25,4.35,3.45,2.55,1.64
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr123","East Kalimantan",,,12.5,12.4,12.3,12.1,12.0,11.9,11.8,11.7,11.6,11.5,10.6,9.71,8.83,7.95,6.77,5.59,4.42,3.24,2.06,1.82,1.58,1.34,1.10,0.86,0.62,0.38,0.14
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr118","East Nusa Tenggara",,,60.6,61.3,62.0,62.7,63.4,64.1,64.8,65.5,66.2,66.9,64.0,61.0,58.1,55.1,52.5,50.0,47.4,44.8,42.2,38.7,35.2,31.6,28.1,24.6,21.1,17.6,14.0
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr119","East Timor",,,64.9,64.9,64.9,64.9,64.9,64.9,64.9,,,,,,,,,,,,,,,,,,,,
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr128","Gorontalo",,,,,,,,,46.6,45.2,43.8,42.4,41.0,39.6,38.2,36.9,33.4,29.9,26.4,22.9,19.5,17.5,15.5,13.5,11.5,9.46,7.46,5.46,3.47
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr130","Irian Jaya (Papua and Papua Barat)",,,34.0,34.6,35.2,35.8,36.4,37.0,37.6,38.1,38.7,39.3,39.9,40.5,41.1,41.7,42.3,43.0,43.7,44.3,45.0,39.8,34.6,29.3,24.1,18.9,13.7,8.50,3.28
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr105","Jambi",,,52.7,50.2,47.6,45.1,42.5,40.0,37.4,34.9,32.3,29.8,27.0,24.1,21.3,18.4,17.1,15.8,14.4,13.1,11.8,9.75,7.71,5.68,3.64,1.61,1.08,0.54,0.01
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr108","Lampung",,,51.2,49.7,48.2,46.8,45.3,43.8,42.3,40.8,39.4,37.9,35.5,33.2,30.8,28.4,25.1,21.7,18.4,15.0,11.7,9.81,7.94,6.07,4.20,2.33,1.56,0.78,0.01
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr129","Maluku",,,56.4,54.5,52.6,50.7,48.7,46.8,44.9,42.9,41.0,39.1,37.1,35.2,33.3,31.3,28.6,26.0,23.3,20.6,17.9,16.3,14.7,13.1,11.5,9.89,8.29,6.69,5.10
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr124","North Sulawesi",,,37.3,34.8,32.4,29.9,27.4,24.9,22.4,20.0,17.5,15.0,13.9,12.7,11.6,10.4,9.92,9.40,8.89,8.37,7.85,6.75,5.64,4.54,3.43,2.33,1.56,0.78,0.01
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr102","North Sumatra",,,23.1,23.5,23.8,24.1,24.5,24.8,25.1,25.5,25.8,26.1,24.1,22.1,20.1,18.2,16.6,15.1,13.6,12.1,10.6,9.76,8.95,8.13,7.32,6.51,5.70,4.89,4.07
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr104","Riau (incl. Riau islands)",,,22.0,21.5,20.9,20.4,19.8,19.3,18.7,18.2,17.6,17.1,17.0,16.9,16.8,16.7,14.3,11.9,9.42,6.99,4.55,3.93,3.32,2.70,2.09,1.47,0.98,0.50,0.01
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr122","South Kalimantan",,,17.7,19.5,21.3,23.2,25.0,26.8,28.7,30.5,32.3,34.2,28.6,22.9,17.3,11.7,10.8,9.97,9.11,8.26,7.40,6.85,6.31,5.76,5.22,4.67,4.12,3.58,3.03
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr126","South Sulawesi (incl Sulawesi Barat)",,,34.4,32.7,30.9,29.2,27.5,25.7,24.0,22.2,20.5,18.8,19.8,20.8,21.8,22.8,20.7,18.5,16.4,14.3,12.2,10.7,9.14,7.61,6.09,4.56,3.04,1.53,0.01
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr106","South Sumatra",,,22.1,24.4,26.7,29.0,31.3,33.6,35.9,38.1,40.4,42.7,37.9,33.0,28.1,23.3,20.6,18.0,15.4,12.8,10.2,9.00,7.85,6.69,5.54,4.39,3.24,2.09,0.93
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr127","Southeast Sulawesi",,,42.4,43.0,43.5,44.1,44.7,45.2,45.8,46.3,46.9,47.5,43.6,39.8,35.9,32.1,29.1,26.1,23.1,20.2,17.2,14.8,12.3,9.93,7.51,5.10,3.40,1.71,0.01
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr111","West Java",,,39.1,36.7,34.4,32.0,29.6,27.3,24.9,22.5,20.2,17.8,15.6,13.4,11.3,9.07,8.30,7.52,6.75,5.97,5.20,4.60,4.01,3.41,2.82,2.22,1.62,1.03,0.43
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr120","West Kalimantan",,,22.3,24.0,25.6,27.3,28.9,30.5,32.2,33.8,35.5,37.1,34.9,32.6,30.4,28.1,24.9,21.7,18.5,15.3,12.0,11.5,11.0,10.4,9.88,9.34,8.80,8.26,7.73
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr117","West Nusa Tenggara",,,49.1,49.5,49.9,50.3,50.7,51.1,51.5,51.9,52.2,52.6,46.7,40.9,35.0,29.1,27.8,26.6,25.4,24.1,22.9,19.5,16.2,12.8,9.47,6.12,4.08,2.05,0.01
