Country,Continent,ISO_Code,Level,GDLCODE,Region,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Indonesia","Asia/Pacific","IDN","National","IDNt","Total",,,5.12,5.14,5.16,5.18,5.20,5.22,5.24,5.26,5.28,5.30,5.24,5.18,5.12,5.06,5.04,5.01,4.99,4.96,4.94,4.90,4.86,4.83,4.79,4.75,4.71,4.67,4.64
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr116","Bali",,,5.07,5.06,5.04,5.03,5.02,5.00,4.99,4.98,4.96,4.95,4.97,4.99,5.00,5.02,4.97,4.92,4.88,4.83,4.78,4.74,4.70,4.65,4.61,4.57,4.53,4.49,4.44
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr109","Bangka Belitung",,,,,,,,,5.24,5.22,5.19,5.17,5.15,5.13,5.10,5.08,5.04,5.00,4.95,4.91,4.87,4.79,4.71,4.62,4.54,4.46,4.38,4.30,4.21
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr115","Banten",,,,,,,,,5.56,5.56,5.57,5.57,5.58,5.58,5.59,5.59,5.50,5.42,5.33,5.25,5.16,5.12,5.07,5.03,4.98,4.94,4.90,4.85,4.81
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr107","Bengkulu",,,5.33,5.31,5.29,5.27,5.25,5.23,5.21,5.19,5.17,5.15,5.09,5.02,4.96,4.89,4.85,4.81,4.77,4.73,4.69,4.64,4.60,4.55,4.51,4.46,4.41,4.37,4.32
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr112","Central Java",,,4.92,4.93,4.94,4.95,4.96,4.97,4.99,5.00,5.01,5.02,4.95,4.88,4.80,4.73,4.68,4.64,4.59,4.55,4.50,4.49,4.47,4.46,4.44,4.43,4.42,4.40,4.39
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr121","Central Kalimantan",,,5.75,5.67,5.60,5.52,5.45,5.37,5.30,5.22,5.15,5.07,5.08,5.08,5.09,5.09,5.09,5.08,5.08,5.07,5.07,4.97,4.87,4.77,4.67,4.57,4.47,4.37,4.27
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr125","Central Sulawesi",,,5.72,5.71,5.70,5.69,5.68,5.67,5.67,5.66,5.65,5.64,5.65,5.65,5.66,5.66,5.67,5.68,5.69,5.70,5.71,5.57,5.43,5.28,5.14,5.00,4.86,4.72,4.57
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr101","DI Aceh",,,5.87,5.82,5.78,5.73,5.68,5.64,5.59,5.55,5.50,5.45,5.41,5.36,5.32,5.27,5.31,5.34,5.38,5.41,5.45,5.35,5.25,5.15,5.05,4.95,4.85,4.75,4.65
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr113","DI Yogyakarta",,,4.67,4.65,4.63,4.61,4.59,4.57,4.55,4.53,4.51,4.49,4.52,4.55,4.58,4.61,4.54,4.48,4.41,4.35,4.28,4.30,4.32,4.34,4.36,4.38,4.40,4.42,4.44
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr110","DKI Jakarta",,,5.88,5.88,5.88,5.88,5.88,5.88,5.89,5.89,5.89,5.89,5.84,5.78,5.73,5.67,5.55,5.43,5.31,5.19,5.07,5.07,5.07,5.06,5.06,5.06,5.06,5.06,5.05
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr114","East Java",,,4.57,4.58,4.60,4.61,4.62,4.64,4.65,4.66,4.68,4.69,4.65,4.61,4.57,4.53,4.54,4.55,4.55,4.56,4.57,4.53,4.48,4.44,4.39,4.35,4.31,4.26,4.22
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr123","East Kalimantan",,,5.76,5.71,5.67,5.63,5.59,5.55,5.51,5.46,5.42,5.38,5.40,5.42,5.44,5.46,5.41,5.37,5.32,5.28,5.23,5.20,5.17,5.15,5.12,5.09,5.06,5.03,5.01
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr118","East Nusa Tenggara",,,5.75,5.81,5.88,5.95,6.02,6.09,6.16,6.22,6.29,6.36,6.29,6.23,6.16,6.09,6.14,6.19,6.23,6.28,6.33,6.23,6.14,6.04,5.95,5.85,5.75,5.66,5.56
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr119","East Timor",,,6.60,6.60,6.60,6.60,6.60,6.60,6.60,,,,,,,,,,,,,,,,,,,,
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr128","Gorontalo",,,,,,,,,6.25,6.13,6.01,5.89,5.77,5.65,5.53,5.41,5.47,5.53,5.58,5.64,5.70,5.64,5.58,5.53,5.47,5.41,5.35,5.29,5.24
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr130","Irian Jaya (Papua and Papua Barat)",,,5.68,5.67,5.66,5.65,5.64,5.63,5.62,5.61,5.60,5.59,5.58,5.57,5.56,5.55,5.57,5.58,5.60,5.61,5.63,5.71,5.79,5.87,5.95,6.03,6.11,6.19,6.27
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr105","Jambi",,,5.14,5.17,5.21,5.25,5.29,5.33,5.37,5.40,5.44,5.48,5.32,5.17,5.01,4.85,4.84,4.82,4.81,4.79,4.78,4.73,4.67,4.62,4.56,4.51,4.46,4.40,4.35
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr108","Lampung",,,5.30,5.29,5.27,5.26,5.25,5.23,5.22,5.21,5.19,5.18,5.10,5.01,4.93,4.84,4.81,4.78,4.74,4.71,4.68,4.61,4.55,4.48,4.42,4.35,4.28,4.22,4.15
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr129","Maluku",,,6.19,6.22,6.25,6.28,6.31,6.34,6.37,6.40,6.44,6.47,6.50,6.53,6.56,6.59,6.55,6.51,6.46,6.42,6.38,6.30,6.23,6.15,6.08,6.00,5.92,5.85,5.77
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr124","North Sulawesi",,,4.44,4.51,4.57,4.64,4.71,4.77,4.84,4.91,4.97,5.04,5.08,5.11,5.15,5.18,5.16,5.14,5.13,5.11,5.09,5.02,4.96,4.89,4.83,4.76,4.69,4.63,4.56
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr102","North Sumatra",,,5.79,5.82,5.84,5.87,5.90,5.92,5.95,5.98,6.00,6.03,5.91,5.78,5.66,5.53,5.46,5.39,5.31,5.24,5.17,5.16,5.16,5.15,5.15,5.14,5.13,5.13,5.12
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr104","Riau (incl. Riau islands)",,,5.52,5.52,5.53,5.53,5.53,5.54,5.54,5.54,5.55,5.55,5.47,5.39,5.31,5.23,5.19,5.15,5.11,5.07,5.03,5.02,5.01,5.00,4.99,4.98,4.97,4.96,4.95
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr122","South Kalimantan",,,4.72,4.77,4.82,4.87,4.92,4.97,5.03,5.08,5.13,5.18,5.06,4.93,4.81,4.68,4.63,4.58,4.53,4.48,4.43,4.42,4.42,4.41,4.41,4.40,4.39,4.39,4.38
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr126","South Sulawesi (incl Sulawesi Barat)",,,5.90,5.87,5.85,5.82,5.80,5.77,5.75,5.72,5.70,5.67,5.70,5.72,5.75,5.77,5.76,5.75,5.74,5.73,5.72,5.66,5.61,5.55,5.50,5.44,5.38,5.33,5.27
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr106","South Sumatra",,,5.31,5.35,5.39,5.43,5.47,5.51,5.56,5.60,5.64,5.68,5.55,5.42,5.28,5.15,5.08,5.02,4.95,4.89,4.82,4.80,4.78,4.77,4.75,4.73,4.71,4.69,4.68
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr127","Southeast Sulawesi",,,5.46,5.50,5.55,5.60,5.65,5.70,5.75,5.79,5.84,5.89,5.87,5.85,5.82,5.80,5.74,5.68,5.63,5.57,5.51,5.50,5.50,5.49,5.49,5.48,5.47,5.47,5.46
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr111","West Java",,,4.90,4.94,4.98,5.02,5.06,5.10,5.14,5.18,5.22,5.26,5.18,5.11,5.03,4.95,4.94,4.93,4.93,4.92,4.91,4.86,4.81,4.76,4.71,4.66,4.61,4.56,4.51
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr120","West Kalimantan",,,5.61,5.60,5.59,5.58,5.57,5.56,5.55,5.54,5.53,5.52,5.50,5.48,5.45,5.43,5.38,5.33,5.29,5.24,5.19,5.23,5.27,5.30,5.34,5.38,5.42,5.46,5.49
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr117","West Nusa Tenggara",,,5.23,5.19,5.16,5.12,5.08,5.05,5.01,4.97,4.94,4.90,4.87,4.83,4.80,4.76,4.73,4.71,4.68,4.66,4.63,4.57,4.51,4.44,4.38,4.32,4.26,4.20,4.13
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr103","West Sumatra",,,5.16,5.26,5.37,5.47,5.58,5.68,5.79,5.89,6.00,6.10,5.94,5.78,5.62,5.46,5.44,5.43,5.41,5.40,5.38,5.34,5.31,5.27,5.24,5.20,5.16,5.13,5.09
