Country,Continent,ISO_Code,Level,GDLCODE,Region,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Indonesia","Asia/Pacific","IDN","National","IDNt","Total",,,64.3,63.4,62.6,61.7,60.8,60.0,59.1,58.2,57.4,56.5,56.5,56.5,56.4,56.4,56.0,55.6,55.2,54.8,54.4,53.6,52.9,52.1,51.4,50.6,49.8,49.1,48.3
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr116","Bali",,,55.1,54.0,53.0,51.9,50.8,49.8,48.7,47.6,46.6,45.5,45.6,45.7,45.7,45.8,46.4,46.9,47.5,48.0,48.6,48.2,47.8,47.5,47.1,46.7,46.3,45.9,45.6
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr109","Bangka Belitung",,,,,,,,,55.0,54.8,54.5,54.3,54.1,53.9,53.6,53.4,53.1,52.7,52.4,52.0,51.7,50.9,50.0,49.2,48.3,47.5,46.7,45.8,45.0
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr115","Banten",,,,,,,,,54.9,55.3,55.7,56.1,56.5,56.9,57.3,57.7,56.5,55.3,54.0,52.8,51.6,50.8,50.1,49.3,48.6,47.8,47.0,46.3,45.5
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr107","Bengkulu",,,75.0,73.4,71.9,70.3,68.8,67.2,65.7,64.1,62.6,61.0,61.1,61.1,61.2,61.2,59.9,58.7,57.4,56.2,54.9,53.9,53.0,52.0,51.1,50.1,49.1,48.2,47.2
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr112","Central Java",,,60.7,60.1,59.5,58.9,58.3,57.7,57.1,56.5,55.9,55.3,55.6,55.8,56.1,56.3,55.2,54.1,53.0,51.9,50.8,50.5,50.3,50.0,49.8,49.5,49.2,49.0,48.7
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr121","Central Kalimantan",,,71.3,70.3,69.4,68.4,67.4,66.5,65.5,64.5,63.6,62.6,61.6,60.5,59.5,58.4,58.1,57.8,57.6,57.3,57.0,56.4,55.9,55.3,54.8,54.2,53.6,53.1,52.5
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr125","Central Sulawesi",,,60.7,60.5,60.4,60.2,60.1,59.9,59.8,59.6,59.5,59.3,59.8,60.2,60.7,61.1,61.1,61.2,61.2,61.3,61.3,59.9,58.4,57.0,55.5,54.1,52.7,51.2,49.8
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr101","DI Aceh",,,70.9,70.3,69.7,69.1,68.5,67.9,67.3,66.7,66.2,65.6,65.0,64.4,63.8,63.2,62.3,61.5,60.6,59.8,58.9,57.9,56.9,56.0,55.0,54.0,53.0,52.0,51.1
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr113","DI Yogyakarta",,,53.8,53.3,52.9,52.4,52.0,51.5,51.1,50.6,50.2,49.7,49.4,49.2,48.9,48.6,48.7,48.7,48.8,48.8,48.9,48.2,47.5,46.9,46.2,45.5,44.8,44.1,43.5
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr110","DKI Jakarta",,,45.7,45.1,44.5,43.9,43.3,42.7,42.2,41.6,41.0,40.4,40.7,41.1,41.4,41.7,41.3,40.9,40.5,40.1,39.7,39.6,39.5,39.4,39.3,39.2,39.1,39.0,38.9
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr114","East Java",,,57.7,56.7,55.8,54.8,53.9,52.9,52.0,51.0,50.1,49.1,49.8,50.5,51.1,51.8,52.0,52.1,52.3,52.4,52.6,51.2,49.8,48.4,47.0,45.6,44.2,42.8,41.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr123","East Kalimantan",,,61.6,60.5,59.3,58.2,57.1,55.9,54.8,53.7,52.5,51.4,52.0,52.5,53.1,53.6,53.6,53.6,53.5,53.5,53.5,53.7,53.9,54.2,54.4,54.6,54.8,55.0,55.3
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr118","East Nusa Tenggara",,,75.2,74.9,74.5,74.2,73.9,73.5,73.2,72.9,72.5,72.2,72.9,73.6,74.3,75.0,74.9,74.8,74.8,74.7,74.6,74.2,73.8,73.5,73.1,72.7,72.3,71.9,71.6
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr119","East Timor",,,89.9,89.9,89.9,89.9,89.9,89.9,89.9,,,,,,,,,,,,,,,,,,,,
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr128","Gorontalo",,,,,,,,,56.6,56.9,57.1,57.3,57.5,57.8,58.0,58.2,57.7,57.2,56.7,56.2,55.7,53.9,52.1,50.4,48.6,46.8,45.0,43.2,41.5
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr130","Irian Jaya (Papua and Papua Barat)",,,70.3,70.0,69.6,69.3,69.0,68.6,68.3,68.0,67.7,67.3,67.0,66.7,66.3,66.0,65.6,65.2,64.7,64.3,63.9,63.9,64.0,64.0,64.1,64.1,64.1,64.2,64.2
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr105","Jambi",,,70.9,69.3,67.6,66.0,64.4,62.7,61.1,59.5,57.8,56.2,56.4,56.5,56.7,56.8,55.5,54.2,53.0,51.7,50.4,49.3,48.3,47.2,46.2,45.1,44.0,43.0,41.9
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr108","Lampung",,,77.1,75.2,73.4,71.5,69.7,67.8,66.0,64.1,62.3,60.4,60.1,59.7,59.4,59.0,57.5,56.0,54.4,52.9,51.4,51.6,51.8,51.9,52.1,52.3,52.5,52.7,52.8
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr129","Maluku",,,75.2,75.0,74.7,74.5,74.3,74.0,73.8,73.5,73.3,73.1,72.8,72.6,72.3,72.1,71.2,70.4,69.5,68.7,67.8,67.3,66.7,66.2,65.6,65.1,64.6,64.0,63.5
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr124","North Sulawesi",,,58.0,57.6,57.1,56.7,56.3,55.8,55.4,55.0,54.5,54.1,54.4,54.6,54.9,55.1,54.3,53.5,52.6,51.8,51.0,51.2,51.3,51.5,51.6,51.8,52.0,52.1,52.3
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr102","North Sumatra",,,86.4,83.5,80.7,77.8,75.0,72.1,69.3,66.4,63.6,60.7,63.4,66.1,68.8,71.5,69.6,67.6,65.7,63.7,61.8,61.2,60.6,60.0,59.4,58.8,58.2,57.6,57.0
