Country,Continent,ISO_Code,Level,GDLCODE,Region,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Indonesia","Asia/Pacific","IDN","National","IDNt","Total",,,41.5,42.5,43.6,44.7,45.8,46.9,47.9,49.0,50.1,51.2,52.9,54.6,56.3,58.0,59.4,60.8,62.3,63.7,65.2,66.5,67.8,69.1,70.5,71.8,73.1,74.4,75.8
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr116","Bali",,,47.9,50.1,52.3,54.5,56.6,58.8,61.0,63.2,65.4,67.6,68.1,68.6,69.1,69.6,70.4,71.2,72.0,72.8,73.6,74.8,76.0,77.2,78.5,79.7,80.9,82.1,83.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr109","Bangka Belitung",,,,,,,,,50.4,52.8,55.2,57.6,60.1,62.5,64.9,67.4,68.2,69.1,69.9,70.8,71.6,72.6,73.6,74.6,75.7,76.7,77.7,78.7,79.7
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr115","Banten",,,,,,,,,56.9,57.5,58.1,58.7,59.4,60.0,60.6,61.2,62.7,64.2,65.6,67.1,68.6,70.1,71.6,73.2,74.7,76.2,77.8,79.3,80.8
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr107","Bengkulu",,,37.6,38.7,39.8,40.9,42.0,43.1,44.3,45.4,46.5,47.6,48.8,50.0,51.2,52.4,54.3,56.3,58.2,60.1,62.0,63.8,65.5,67.3,69.1,70.9,72.6,74.4,76.2
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr112","Central Java",,,39.6,40.2,40.9,41.5,42.2,42.8,43.5,44.1,44.8,45.4,47.8,50.1,52.5,54.8,56.7,58.5,60.4,62.2,64.1,65.6,67.2,68.7,70.3,71.8,73.4,74.9,76.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr121","Central Kalimantan",,,40.6,41.2,41.8,42.3,42.9,43.5,44.0,44.6,45.2,45.7,47.6,49.5,51.4,53.3,55.0,56.6,58.3,59.9,61.6,62.2,62.8,63.4,64.0,64.7,65.3,65.9,66.5
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr125","Central Sulawesi",,,35.4,36.5,37.6,38.7,39.8,40.9,42.0,43.1,44.2,45.3,46.3,47.2,48.2,49.1,50.7,52.2,53.7,55.3,56.8,58.2,59.7,61.1,62.6,64.0,65.5,66.9,68.4
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr101","DI Aceh",,,34.9,36.4,37.8,39.2,40.6,42.0,43.4,44.8,46.2,47.6,49.0,50.4,51.8,53.3,54.9,56.5,58.1,59.8,61.4,62.5,63.6,64.8,65.9,67.1,68.2,69.3,70.5
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr113","DI Yogyakarta",,,48.5,49.3,50.1,50.8,51.6,52.4,53.1,53.9,54.7,55.4,57.8,60.2,62.6,65.0,65.8,66.6,67.4,68.2,69.0,70.1,71.2,72.2,73.3,74.4,75.5,76.5,77.6
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr110","DKI Jakarta",,,61.1,62.7,64.3,65.9,67.4,69.0,70.6,72.2,73.8,75.3,76.9,78.6,80.2,81.8,81.3,80.9,80.4,80.0,79.5,80.0,80.6,81.1,81.6,82.2,82.7,83.3,83.8
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr114","East Java",,,36.6,38.3,40.0,41.7,43.5,45.2,46.9,48.6,50.4,52.1,52.6,53.1,53.7,54.2,56.4,58.6,60.8,63.0,65.2,66.8,68.4,70.0,71.6,73.3,74.9,76.5,78.1
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr123","East Kalimantan",,,56.4,57.4,58.4,59.4,60.4,61.4,62.5,63.5,64.5,65.5,66.8,68.2,69.5,70.9,71.3,71.7,72.1,72.5,72.9,73.4,74.0,74.5,75.1,75.7,76.2,76.8,77.3
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr118","East Nusa Tenggara",,,34.9,33.8,32.7,31.6,30.5,29.4,28.3,27.2,26.2,25.1,27.6,30.1,32.7,35.2,36.9,38.7,40.4,42.2,43.9,45.5,47.0,48.5,50.1,51.6,53.2,54.7,56.2
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr119","East Timor",,,27.4,27.4,27.4,27.4,27.4,27.4,27.4,,,,,,,,,,,,,,,,,,,,
