Country,Continent,ISO_Code,Level,GDLCODE,Region,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Indonesia","Asia/Pacific","IDN","National","IDNt","Total",,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr116","Bali",,,1.51,1.50,1.49,1.49,1.48,1.47,1.47,1.46,1.45,1.45,1.51,1.57,1.63,1.69,1.70,1.70,1.71,1.72,1.72,1.75,1.78,1.81,1.84,1.87,1.90,1.93,1.96
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr109","Bangka Belitung",,,,,,,,,0.12,0.25,0.37,0.50,0.63,0.76,0.89,1.01,0.92,0.82,0.73,0.64,0.54,0.54,0.55,0.55,0.55,0.55,0.56,0.56,0.56
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr115","Banten",,,,,,,,,5.34,5.15,4.97,4.78,4.59,4.40,4.21,4.02,4.10,4.19,4.27,4.35,4.43,4.40,4.37,4.34,4.31,4.28,4.25,4.22,4.19
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr107","Bengkulu",,,0.80,0.77,0.74,0.71,0.69,0.66,0.63,0.60,0.57,0.55,0.57,0.60,0.63,0.65,0.66,0.67,0.67,0.68,0.69,0.70,0.71,0.72,0.73,0.74,0.75,0.76,0.77
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr112","Central Java",,,16.6,16.3,16.0,15.7,15.4,15.2,14.9,14.6,14.3,14.0,14.5,15.1,15.6,16.1,15.6,15.0,14.4,13.9,13.3,13.3,13.4,13.4,13.5,13.5,13.5,13.6,13.6
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr121","Central Kalimantan",,,0.86,0.87,0.88,0.89,0.90,0.90,0.91,0.92,0.93,0.94,0.92,0.90,0.87,0.85,0.86,0.88,0.90,0.91,0.93,0.92,0.90,0.89,0.88,0.87,0.85,0.84,0.83
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr125","Central Sulawesi",,,0.88,0.90,0.93,0.96,0.98,1.01,1.04,1.06,1.09,1.12,1.11,1.11,1.11,1.11,1.12,1.12,1.12,1.13,1.13,1.13,1.13,1.13,1.12,1.12,1.12,1.12,1.12
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr101","DI Aceh",,,2.14,2.11,2.07,2.03,2.00,1.96,1.92,1.89,1.85,1.82,1.78,1.74,1.71,1.67,1.72,1.77,1.82,1.88,1.93,1.91,1.90,1.88,1.87,1.86,1.84,1.83,1.81
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr113","DI Yogyakarta",,,1.82,1.77,1.72,1.67,1.62,1.57,1.52,1.47,1.42,1.37,1.48,1.58,1.68,1.78,1.72,1.66,1.60,1.54,1.48,1.50,1.52,1.54,1.56,1.58,1.60,1.62,1.64
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr110","DKI Jakarta",,,4.42,4.30,4.18,4.06,3.94,3.82,3.70,3.58,3.46,3.34,3.60,3.86,4.12,4.38,4.26,4.13,4.01,3.89,3.77,3.74,3.72,3.69,3.66,3.64,3.61,3.59,3.56
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr114","East Java",,,18.0,17.9,17.8,17.6,17.5,17.4,17.3,17.1,17.0,16.9,16.8,16.7,16.7,16.6,16.6,16.5,16.5,16.5,16.4,16.2,16.0,15.7,15.5,15.3,15.0,14.8,14.6
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr123","East Kalimantan",,,1.06,1.11,1.16,1.22,1.27,1.32,1.38,1.43,1.49,1.54,1.49,1.45,1.41,1.36,1.38,1.39,1.41,1.42,1.44,1.43,1.43,1.42,1.42,1.42,1.41,1.41,1.41
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr118","East Nusa Tenggara",,,1.94,1.93,1.92,1.92,1.91,1.91,1.90,1.89,1.89,1.88,1.95,2.02,2.09,2.17,2.16,2.16,2.16,2.15,2.15,2.12,2.10,2.07,2.05,2.02,2.00,1.97,1.95
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr119","East Timor",,,0.50,0.50,0.50,0.50,0.50,0.50,0.50,,,,,,,,,,,,,,,,,,,,
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr128","Gorontalo",,,,,,,,,0.50,0.50,0.49,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr130","Irian Jaya (Papua and Papua Barat)",,,0.85,0.86,0.88,0.90,0.92,0.93,0.95,0.97,0.98,1.00,1.02,1.04,1.05,1.07,1.15,1.22,1.29,1.37,1.44,1.47,1.49,1.52,1.54,1.57,1.59,1.61,1.64
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr105","Jambi",,,1.51,1.47,1.43,1.40,1.36,1.33,1.29,1.25,1.22,1.18,1.13,1.08,1.03,0.98,1.04,1.09,1.14,1.20,1.25,1.26,1.27,1.29,1.30,1.31,1.32,1.33,1.35
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr108","Lampung",,,3.26,3.28,3.29,3.31,3.33,3.34,3.36,3.37,3.39,3.41,3.33,3.25,3.18,3.10,3.11,3.13,3.14,3.15,3.17,3.15,3.14,3.12,3.11,3.10,3.08,3.07,3.05
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr129","Maluku",,,0.97,0.98,0.99,1.00,1.01,1.02,1.03,1.04,1.05,1.06,1.06,1.07,1.08,1.09,1.09,1.09,1.09,1.09,1.08,1.09,1.09,1.10,1.10,1.11,1.12,1.12,1.13
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr124","North Sulawesi",,,1.36,1.32,1.28,1.24,1.19,1.15,1.11,1.07,1.03,0.98,1.04,1.09,1.14,1.19,1.15,1.11,1.07,1.03,0.99,0.97,0.95,0.93,0.92,0.90,0.88,0.86,0.84
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr102","North Sumatra",,,5.31,5.59,5.86,6.14,6.41,6.69,6.96,7.24,7.51,7.79,7.20,6.61,6.02,5.44,5.40,5.37,5.33,5.30,5.26,5.28,5.30,5.33,5.35,5.37,5.39,5.41,5.43
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr104","Riau (incl. Riau islands)",,,1.58,1.65,1.73,1.80,1.88,1.95,2.03,2.10,2.18,2.25,2.08,1.90,1.72,1.55,1.83,2.11,2.39,2.67,2.95,3.00,3.05,3.09,3.14,3.19,3.23,3.28,3.33
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr122","South Kalimantan",,,1.31,1.34,1.36,1.38,1.41,1.43,1.46,1.48,1.50,1.53,1.54,1.54,1.55,1.56,1.55,1.55,1.54,1.53,1.53,1.54,1.54,1.55,1.56,1.57,1.57,1.58,1.59
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr126","South Sulawesi (incl Sulawesi Barat)",,,3.71,3.79,3.86,3.94,4.01,4.08,4.16,4.23,4.31,4.38,4.31,4.24,4.17,4.10,4.06,4.03,3.99,3.95,3.91,3.87,3.82,3.77,3.72,3.67,3.62,3.57,3.53
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr106","South Sumatra",,,3.62,3.52,3.41,3.30,3.19,3.09,2.98,2.87,2.76,2.66,2.69,2.73,2.77,2.81,2.85,2.89,2.93,2.97,3.01,3.02,3.02,3.03,3.04,3.05,3.05,3.06,3.07
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr127","Southeast Sulawesi",,,0.66,0.67,0.69,0.71,0.73,0.74,0.76,0.78,0.80,0.81,0.83,0.86,0.88,0.90,0.90,0.90,0.90,0.90,0.91,0.92,0.93,0.94,0.95,0.97,0.98,0.99,1.00
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr111","West Java",,,20.4,20.3,20.2,20.2,20.1,20.1,20.0,19.9,19.9,19.8,18.9,18.0,17.1,16.3,16.7,17.1,17.5,17.9,18.3,18.5,18.7,18.8,19.0,19.2,19.3,19.5,19.7
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr120","West Kalimantan",,,1.83,1.83,1.82,1.82,1.81,1.80,1.80,1.79,1.78,1.78,1.83,1.89,1.95,2.00,1.96,1.91,1.86,1.82,1.77,1.79,1.82,1.84,1.87,1.89,1.92,1.94,1.97
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr117","West Nusa Tenggara",,,1.91,1.92,1.93,1.94,1.95,1.96,1.97,1.98,1.99,2.00,2.02,2.04,2.07,2.09,2.09,2.09,2.08,2.08,2.08,2.06,2.04,2.02,2.00,1.98,1.96,1.94,1.92
