Country,Continent,ISO_Code,Level,GDLCODE,Region,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Indonesia","Asia/Pacific","IDN","National","IDNt","Total",,,194,197,200,203,206,209,212,214,217,220,223,226,229,232,236,239,242,245,248,252,255,258,261,265,268,271,274
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr116","Bali",,,2.93,2.96,2.98,3.01,3.04,3.07,3.10,3.13,3.16,3.19,3.38,3.56,3.75,3.93,4.00,4.07,4.14,4.21,4.28,4.41,4.54,4.68,4.81,4.95,5.08,5.21,5.35
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr109","Bangka Belitung",,,,,,,,,0.17,0.48,0.79,1.11,1.42,1.73,2.04,2.35,2.15,1.95,1.75,1.55,1.34,1.37,1.39,1.42,1.44,1.47,1.49,1.51,1.54
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr115","Banten",,,,,,,,,11.4,11.1,10.8,10.5,10.2,9.93,9.64,9.34,9.68,10.0,10.3,10.7,11.0,11.1,11.1,11.2,11.3,11.3,11.4,11.4,11.5
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr107","Bengkulu",,,1.57,1.53,1.49,1.45,1.41,1.37,1.33,1.28,1.24,1.20,1.28,1.36,1.44,1.52,1.55,1.59,1.63,1.67,1.71,1.76,1.81,1.86,1.91,1.96,2.01,2.06,2.11
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr112","Central Java",,,32.5,32.3,32.1,31.9,31.7,31.6,31.4,31.2,31.0,30.8,32.5,34.2,35.8,37.5,36.6,35.7,34.8,33.9,33.0,33.5,34.1,34.6,35.2,35.7,36.3,36.8,37.3
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr121","Central Kalimantan",,,1.66,1.71,1.75,1.80,1.84,1.89,1.94,1.98,2.03,2.07,2.05,2.02,2.00,1.97,2.04,2.11,2.17,2.24,2.31,2.30,2.30,2.30,2.29,2.29,2.29,2.29,2.28
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr125","Central Sulawesi",,,1.68,1.77,1.85,1.94,2.03,2.11,2.20,2.28,2.37,2.46,2.49,2.52,2.56,2.59,2.63,2.68,2.72,2.76,2.81,2.84,2.87,2.90,2.94,2.97,3.00,3.03,3.07
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr101","DI Aceh",,,4.20,4.17,4.15,4.12,4.10,4.07,4.05,4.03,4.00,3.98,3.95,3.93,3.91,3.88,4.06,4.24,4.43,4.61,4.79,4.81,4.84,4.86,4.89,4.91,4.94,4.96,4.99
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr113","DI Yogyakarta",,,3.57,3.51,3.45,3.39,3.33,3.27,3.21,3.15,3.09,3.03,3.30,3.58,3.86,4.14,4.04,3.95,3.85,3.76,3.67,3.77,3.87,3.97,4.07,4.17,4.27,4.38,4.48
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr110","DKI Jakarta",,,8.67,8.52,8.37,8.23,8.08,7.94,7.79,7.65,7.50,7.36,8.06,8.76,9.47,10.2,10.0,9.85,9.68,9.52,9.36,9.41,9.47,9.52,9.58,9.63,9.68,9.74,9.79
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr114","East Java",,,35.1,35.3,35.5,35.8,36.0,36.2,36.5,36.7,36.9,37.2,37.5,37.9,38.2,38.6,39.0,39.5,39.9,40.3,40.8,40.7,40.6,40.5,40.5,40.4,40.3,40.2,40.2
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr123","East Kalimantan",,,2.01,2.16,2.31,2.47,2.62,2.78,2.93,3.08,3.24,3.39,3.33,3.28,3.22,3.17,3.25,3.33,3.41,3.49,3.57,3.60,3.64,3.68,3.71,3.75,3.79,3.82,3.86
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr118","East Nusa Tenggara",,,3.76,3.81,3.85,3.89,3.93,3.97,4.02,4.06,4.10,4.14,4.36,4.59,4.81,5.03,5.09,5.15,5.22,5.28,5.34,5.34,5.34,5.35,5.35,5.36,5.36,5.36,5.37
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr119","East Timor",,,1.02,1.02,1.02,1.02,1.02,1.02,1.02,,,,,,,,,,,,,,,,,,,,
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr128","Gorontalo",,,,,,,,,1.06,1.07,1.07,1.07,1.07,1.08,1.08,1.08,1.09,1.10,1.11,1.12,1.13,1.14,1.15,1.17,1.18,1.20,1.21,1.22,1.24
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr130","Irian Jaya (Papua and Papua Barat)",,,1.62,1.69,1.75,1.82,1.89,1.95,2.02,2.09,2.16,2.22,2.29,2.36,2.42,2.49,2.71,2.93,3.15,3.36,3.58,3.69,3.81,3.92,4.03,4.14,4.25,4.37,4.48
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr105","Jambi",,,2.95,2.91,2.88,2.84,2.80,2.76,2.72,2.68,2.64,2.60,2.52,2.44,2.37,2.29,2.45,2.61,2.78,2.94,3.11,3.18,3.25,3.32,3.39,3.47,3.54,3.61,3.68
"Indonesia","Asia/Pacific","IDN","Subnat","IDNr108","Lampung",,,6.32,6.45,6.58,6.71,6.85,6.98,7.11,7.24,7.37,7.50,7.43,7.35,7.28,7.20,7.34,7.47,7.60,7.73,7.87,7.93,8.00,8.06,8.13,8.19,8.26,8.32,8.39
