msisdn_encrypted,home_kecamatan_location,rn,rnd_cnt
80b686edabcaaf27174d4230970650c756c60a9648a46e6cf31ce240de08fe50,KEDIRI,12,275
f5de68d23964f67b39e6129907a782a7a6c8032253c47a08f11c062ab11f5a01,KEDIRI,28,275
9d75bb17fc601687671ffb8fa0b7d5990f169cb44a53d3f032ad752ae169c69a,KEDIRI,66,275
f1a42c870df31a07c5d5f5da8e389a19aa733519b9ba6bb9da4a4a92837418c5,KEDIRI,82,275
5ba59e39ee14effcaaaad4c8f417553a7d4aa6a1219748ba2161ee6e99bc885f,KEDIRI,83,275
f78e348cd58651de45d529f8df0e08ba354fc95e74150d1e17cf3dc8eac4027b,KEDIRI,141,275
1b59c330b9083d4347d355aa0d023e56a6030e14b0be23708177c71b10c79a31,KEDIRI,190,275
a3e9993a95c3b981c4ce0a34bebafbe31136e2f03262bb6d5d8fa4acb7e75da4,KEDIRI,202,275
bdab0d5dd97218d6297436c88b179a8f4d50904e95451286919b7f8c6294dac0,KEDIRI,38,275
5ad89c956534252e86d2042695e659eb2e3e74319716a82cf4e2e85ab146a87f,KEDIRI,89,275
61a46d481d012f7c5aed68032aca4800f125f9065eb99d5b5cb70edaa1095cb1,KEDIRI,182,275
0f0be9e36dd320ed2ebedc2c2e8ebd60399f5a72dcd99d5c32cbb78ea6a7c4c8,KEDIRI,116,275
9cd92267ec5b8fa8d886271157b543b415c1ace77b187db520dc25a254fea181,KEDIRI,193,275
421bf2e510dcb02e1762d8f51487da1362767a0ef65fd7c2876ba39bfdecce83,KEDIRI,33,275
e99f1cadc4edc6e5d33d525509f3779b9019b3295063064b8bafc6eb38cb9d1e,KEDIRI,86,275
663433f45889190ab0ab02759264727678ddb4c4e7f0dd66f0345e9f37c3d863,KEDIRI,117,275
60fa44807a4bb82cc24d573388e5734bab230d70236cec3a6fc8810a83925bef,KEDIRI,155,275
c89ebf31ac58702a2766ee106f0f5a77225bf7da21842167a99c841799ef3c2a,KEDIRI,272,275
bb387062f0d175b48368d0ef14bfaa48ccc4b2c530312e318caf0d9d26d842c1,KEDIRI,135,275
d1dfa1311dbc10a720299865860032b1b9372f2a25e1c0a827fd825bc99c3c8c,KEDIRI,220,275
23c2bc335dcf6271f1aeb7edd53d7327cf7a0aef03a0be2d2a2d73fa627fdfc1,KEDIRI,228,275
47d888cde7e94466f831b1eb471b0fd88faf490902c71508005cb0d3e9b893e7,KEDIRI,247,275
2426937f12a4e85a86dbfb5a88c6506fe4f8207e96a689a9e0ce2fdda8b4b1cf,KEDIRI,43,275
73e573c6cff89f6f40d45e8800351201dec238b9dd395bf88abbb6a8f4b5d23a,KEDIRI,59,275
200cbe91041f3dcd893152e3cd7d2ed1525d4ed26987669339e871ef94897bba,KEDIRI,68,275
7ef8dd686ac083060f5aff76fe540bbcf95c8b5dc2476bb248aa3dad4eb5fe47,KEDIRI,71,275
6e53d36dcbec8c776d34e48f6975406183bb097babfca07f3b2f261faf0a3d8a,KEDIRI,140,275
742b3d397686ed83280de246c52573c8c5cd793019d5dda413fbf305f661608a,KEDIRI,142,275
ffca4f48544edca2069728760437aa53f5d5f26f47098ad19cdf6312e4cc7fa1,KEDIRI,152,275
548856acb9e1b2d6856d0ea6e9b031515ee2e631e86aa4f1bfcad5a755fad3e5,KEDIRI,153,275
dd5de58a68d8b3177e5b9826196b14cb1bcd58ccc8b17a61ce7a82aeda48498e,KEDIRI,171,275
1cd798395ce1117f98aee04267a3650c23d2665df8a27ca69479d70142f11dd2,KEDIRI,184,275
b6af27676648013f29d88f3d84a274973d3883f911052210a907b1516c8db599,KEDIRI,239,275
57aea8be42082b31f3ec26ab5bdca0ceb48e90d313face943b9754b0cf0b1706,KEDIRI,4,275
5d74f40f51d2de040f3a17d2d4c858d59c2dd2b34555810b60d41441aa18fb8e,KEDIRI,6,275
d2286deaccbe6f81b5f0d7e46a1fcb8e321bc2359e45aa85639e6f81857b0eda,KEDIRI,16,275
17862a76815dcfea3fce3b12d0b0edc087a65ea0bda3fc15cac044722b2524ce,KEDIRI,92,275
3389d87366277b85116ca1a09fdbf840df105ab61636ac2228662d37f621c6c9,KEDIRI,120,275
bac252215754d3d98103ad34bfab16b7c4519f41375693c14135e28b9c182e98,KEDIRI,146,275
940b1ee36c208b08e0a6d6b52da2fdeed7bbcbc850093c3241ab3cb5a4bf5b9f,KEDIRI,199,275
da6e856d703d8f2e1d74b1462496cf06da7924759e6d800013204be1c4336cae,KEDIRI,3,275
b3c4530baa4aabba7d8c3798c4f5efc7cc456b52315973421fa029110817f390,KEDIRI,32,275
bdd537a4ca86a5eea8ffb9dc36919ed26f4931ab2cf42a0c9db9502d28e74bdd,KEDIRI,80,275
