,state,time,id,cov1,cov2
0,1,0.0,1,0,0
1,1,0.768779,1,0,0
2,2,13.179197048611112,1,0,0
3,1,0.0,2,0,0
4,1,2.635296,2,0,0
5,2,16.15763888888889,2,0,0
6,1,0.0,3,0,0
7,1,14.978249,3,0,0
8,2,35.17199072943794,3,0,0
9,1,0.0,4,0,0
10,1,0.309698,4,0,0
11,2,13.857587983873156,4,0,0
12,1,0.0,5,0,0
13,1,17.901593,5,0,0
14,2,21.93517591688368,5,0,0
15,1,0.0,6,0,0
16,1,0.165529,6,0,0
17,2,21.7975675784217,6,0,0
18,1,0.0,7,0,0
19,1,21.465023,7,0,0
20,2,24.14311575995552,7,0,0
21,1,0.0,8,0,0
22,1,5.914687,8,0,0
23,2,10.680630374484592,8,0,0
24,1,0.0,9,0,0
25,1,23.566876,9,0,0
26,2,56.68431823624504,9,0,0
27,1,0.0,10,0,0
28,1,26.178341,10,0,0
29,2,44.47787034776476,10,0,0
30,1,0.0,11,0,0
31,1,7.30293,11,0,0
32,2,13.957986111111111,11,0,0
33,1,0.0,12,0,0
34,1,10.866158,12,0,0
35,2,16.594840952555337,12,0,0
36,1,0.0,13,0,0
37,1,3.909919,13,0,0
38,2,12.241324783960978,13,0,0
39,1,0.0,14,0,0
40,1,9.714852,14,0,0
41,2,11.166736111111112,14,0,0
42,1,0.0,15,0,0
43,1,8.721931,15,0,0
44,2,9.930940313339232,15,0,0
45,1,0.0,16,0,0
46,1,2.031867,16,0,0
47,2,2.438185204399957,16,0,0
48,1,0.0,17,0,0
49,1,9.613693,17,0,0
50,2,23.200324062771266,17,0,0
51,1,0.0,18,0,0
52,1,5.729122,18,0,0
53,2,5.783888876173233,18,0,0
54,1,0.0,19,0,0
55,1,5.200621,19,0,0
56,2,8.520509236653647,19,0,0
57,1,0.0,20,0,0
58,1,16.367513,20,0,0
59,2,25.935465604994032,20,0,0
60,1,0.0,21,0,0
61,1,9.256311,21,0,0
62,2,17.5371428765191,21,0,0
63,1,0.0,22,0,0
64,1,26.432409,22,0,0
65,2,31.0199609375,22,0,0
66,1,0.0,23,0,0
67,1,0.203485,23,0,0
68,2,0.2061111111111111,23,0,0
69,1,0.0,24,0,0
70,1,0.362537,24,0,0
71,2,1.438279824786716,24,0,0
72,1,0.0,25,0,0
73,1,3.045769,25,0,0
74,2,11.682051705254448,25,0,0
75,1,0.0,26,0,0
76,1,19.759725,26,0,0
77,2,38.197569104300605,26,0,0
78,1,0.0,27,0,0
79,1,11.591875,27,0,0
80,2,35.04042385525173,27,0,0
81,1,0.0,28,0,0
82,1,39.173914,28,0,0
83,2,57.18912760416666,28,0,0
84,1,0.0,29,0,0
85,1,4.7676,29,0,0
86,2,17.795821430418226,29,0,0
87,1,0.0,30,0,0
88,1,0.19046,30,0,0
89,2,0.3043055555555555,30,0,0
90,1,0.0,31,0,0
91,1,14.193974,31,0,0
92,2,18.25598419083489,31,0,0
93,1,0.0,32,0,0
94,1,2.090762,32,0,0
95,2,4.631866250567966,32,0,0
96,1,0.0,33,0,0
97,1,38.171302,33,0,0
98,2,38.32393853081597,33,0,0
99,1,0.0,34,0,0
100,1,0.352827,34,0,0
101,2,20.090567524168225,34,0,0
102,1,0.0,35,0,0
103,1,27.944008,35,0,0
104,2,111.46630754152932,35,0,0
105,1,0.0,36,0,0
106,1,18.497166,36,0,0
107,2,18.99946329752604,36,0,0
108,1,0.0,37,0,0
109,1,9.653002,37,0,0
110,2,19.14508829752604,37,0,0
111,1,0.0,38,0,0
112,1,0.005429,38,0,0
113,2,16.924676106770832,38,0,0
114,1,0.0,39,0,0
115,1,13.278119,39,0,0
116,2,54.22163435194227,39,0,0
117,1,0.0,40,0,0
118,1,48.715209,40,0,0
119,2,49.63427001953125,40,0,0
120,1,0.0,41,0,0
121,1,0.491966,41,0,0
122,2,4.419229736328125,41,0,0
123,1,0.0,42,0,0
124,1,11.730504,42,0,0
125,2,23.750888307359485,42,0,0
126,1,0.0,43,0,0
127,1,1.959977,43,0,0
128,2,10.133629115422568,43,0,0
129,1,0.0,44,0,0
130,1,1.600161,44,0,0
131,2,2.099629652235243,44,0,0
132,1,0.0,45,0,0
133,1,3.068592,45,0,0
134,2,21.81846560160319,45,0,0
135,1,0.0,46,0,0
136,1,14.234803,46,0,0
137,2,24.08471163431804,46,0,0
138,1,0.0,47,0,0
139,1,2.79022,47,0,0
140,2,5.022074093288846,47,0,0
141,1,0.0,48,0,0
142,1,2.581576,48,0,0
143,2,5.034722222222222,48,0,0
144,1,0.0,49,0,0
145,1,17.433646,49,0,0
146,2,39.41140702989367,49,0,0
147,1,0.0,50,0,0
148,1,1.961518,50,0,0
149,2,2.14625,50,0,0
150,1,0.0,51,0,0
151,1,1.461278,51,0,0
152,2,2.093888888888889,51,0,0
153,1,0.0,52,0,0
154,1,0.247693,52,0,0
155,2,27.14878960503472,52,0,0
156,1,0.0,53,0,0
157,1,16.33969,53,0,0
158,2,20.643194173177083,53,0,0
159,1,0.0,54,0,0
160,1,0.389094,54,0,0
161,2,21.136438530815973,54,0,0
162,1,0.0,55,0,0
163,1,8.544807,55,0,0
164,2,14.03749972873264,55,0,0
165,1,0.0,56,0,0
166,1,12.759783,56,0,0
167,2,32.54835998535156,56,0,0
168,1,0.0,57,0,0
169,1,15.079621,57,0,0
170,2,31.989721950954863,57,0,0
171,1,0.0,58,0,0
172,1,0.009111,58,0,0
173,2,1.0461111111111112,58,0,0
174,1,0.0,59,0,0
175,1,0.07886,59,0,0
176,2,21.77486111111111,59,0,0
177,1,0.0,60,0,0
178,1,40.602429,60,0,0
179,2,43.24120334201389,60,0,0
180,1,0.0,61,0,0
181,1,25.357342,61,0,0
182,2,30.81888888888889,61,0,0
183,1,0.0,62,0,0
184,1,11.029568,62,0,0
185,2,27.3626030476888,62,0,0
186,1,0.0,63,0,0
187,1,9.340303,63,0,0
188,2,26.56163845486111,63,0,0
189,1,0.0,64,0,0
190,1,2.977653,64,0,0
191,2,12.516123079723782,64,0,0
192,1,0.0,65,0,0
193,1,33.508911,65,0,0
194,2,35.89688978407118,65,0,0
195,1,0.0,66,0,0
196,1,26.608589,66,0,0
197,2,36.49258427302043,66,0,0
198,1,0.0,67,0,0
199,1,18.234929,67,0,0
200,2,32.933667738172744,67,0,0
201,1,0.0,68,0,0
202,1,12.374369,68,0,0
203,2,33.31120300292969,68,0,0
204,1,0.0,69,0,0
205,1,7.355165,69,0,0
206,2,33.417093641493054,69,0,0
207,1,0.0,70,0,0
208,1,0.619386,70,0,0
209,2,1.3344444444444443,70,0,0
210,1,0.0,71,0,0
211,1,0.597922,71,0,0
212,2,0.9054166666666666,71,0,0
213,1,0.0,72,0,0
214,1,17.467599,72,0,0
215,2,36.27739552709791,72,0,0
216,1,0.0,73,0,0
217,1,3.292945,73,0,0
218,2,28.25937759399414,73,0,0
219,1,0.0,74,0,0
220,1,0.57245,74,0,0
221,2,2.1732635826534694,74,0,0
222,1,0.0,75,0,0
223,1,1.297325,75,0,0
224,2,18.28847195095486,75,0,0
225,1,0.0,76,0,0
226,1,9.119539,76,0,0
227,2,18.598623079723783,76,0,0
228,1,0.0,77,0,0
229,1,17.317971,77,0,0
230,2,21.3294127061632,77,0,0
231,1,0.0,78,0,0
232,1,10.776833,78,0,0
233,2,18.981217990451388,78,0,0
234,1,0.0,79,0,0
235,1,0.690296,79,0,0
236,2,2.204900800916884,79,0,0
237,1,0.0,80,0,0
238,1,0.009751,80,0,0
239,2,0.0445833333333333,80,0,0
240,1,0.0,81,0,0
241,1,10.699384,81,0,0
242,2,31.87152777777778,81,0,0
243,1,0.0,82,0,0
244,1,6.887483,82,0,0
245,2,24.687022976345485,82,0,0
246,1,0.0,83,0,0
247,1,2.251529,83,0,0
248,2,22.67222222222222,83,0,0
249,1,0.0,84,0,0
