@Id;Admin Leve;Boundary;Hub Name;Id;Is In Muni;Is In Prov;Is In Town;Name;PT HubName;Type;Area neigh;Density N;Fid;Geometry;Hub Dist;Pop Neigh;PT HubDist
relation/5802121;7;administrative;SCBD;relation/5802121;Pademangan;DKI Jakarta;Jakarta Utara;Ancol;Ancol;boundary;3,77;7985,8461;1;Point;8,772291288;30107;0,743751892
relation/5802122;7;administrative;SCBD;relation/5802122;Tambora;DKI Jakarta;Jakarta Barat;Pekojan;Bandengan Selatan;boundary;0,78;36465,2956;2;Point;7,763742744;28443;0,098413466
relation/5802123;7;administrative;SCBD;relation/5802123;Cilincing;DKI Jakarta;Jakarta Utara;Marunda;Stop Point (Green Garden Stop Point) Angkot #28;boundary;7,92;4737,9656;3;Point;17,640378885;37525;4,704307951
relation/5802124;7;administrative;SCBD;relation/5802124;Pulo Gadung;DKI Jakarta;Jakarta Timur;Kayu Putih;Halte Asmi;boundary;4,37;11419,4213;4;Point;6,626550850;49903;0,831342509
relation/5802125;7;administrative;SCBD;relation/5802125;Koja;DKI Jakarta;Jakarta Utara;Lagoa;;boundary;1,58;48269,536;5;Point;13,397043270;76266;1,879116801
relation/5802126;7;administrative;SCBD;relation/5802126;Taman Sari;DKI Jakarta;Jakarta Barat;Mangga Besar;;boundary;0,51;17941,2916;6;Point;6,552011502;9150;0,234300699
relation/5802127;7;administrative;SCBD;relation/5802127;Tambora;DKI Jakarta;Jakarta Barat;Jembatan Lima;;boundary;0,46;55866,9834;7;Point;6,995502756;25699;0,350383839
relation/5802128;7;administrative;SCBD;relation/5802128;Pancoran;DKI Jakarta;Jakarta Selatan;Duren Tiga;Potlot;boundary;1,92;18024,4283;8;Point;5,873815453;34607;0,669988657
relation/5802129;7;administrative;SCBD;relation/5802129;Kelapa Gading;DKI Jakarta;Jakarta Utara;Kelapa Gading Timur;Boulevard Selatan;boundary;5,31;7580,1953;9;Point;9,139919321;40251;0,365302306
relation/5802130;7;administrative;SCBD;relation/5802130;Kramat Jati;DKI Jakarta;Jakarta Timur;Dukuh;Taman Mini;boundary;1,98;15736,2815;10;Point;11,630147282;31158;0,289458325
relation/5802131;7;administrative;SCBD;relation/5802131;Setiabudi;DKI Jakarta;Jakarta Selatan;Kuningan Timur;Kantor Taman A9;boundary;2,15;3428,9707;11;Point;3,141060095;7372;0,076520098
relation/5802132;7;administrative;SCBD;relation/5802132;Kebayoran Lama;DKI Jakarta;Jakarta Selatan;Grogol Selatan;Kebayoran Lama;boundary;0,29;19108,9005;12;Point;5,986191258;5542;0,731561032
relation/5802133;7;administrative;SCBD;relation/5802133;Jagakarsa;DKI Jakarta;Jakarta Selatan;Ciganjur;Masjid El Syifa;boundary;3,38;14249,7038;13;Point;14,895930438;48164;0,349833750
relation/5802134;7;administrative;SCBD;relation/5802134;Sawah Besar;DKI Jakarta;Jakarta Pusat;Pasar Baru;Pasar Baru;boundary;1,89;8480,0212;14;Point;4,142967974;16027;0,089247696
relation/5802136;7;administrative;SCBD;relation/5802136;Duren Sawit;DKI Jakarta;Jakarta Timur;Pondok Kelapa;Klapa Village;boundary;5,72;15634,0121;15;Point;12,268362605;89427;1,037406663
relation/5802137;7;administrative;SCBD;relation/5802137;Palmerah;DKI Jakarta;Jakarta Barat;Slipi;;boundary;0,97;21112,7079;16;Point;3,189769875;20479;0,345001953
relation/5802138;7;administrative;SCBD;relation/5802138;Pesanggrahan;DKI Jakarta;Jakarta Selatan;Pesanggrahan;;boundary;2,1;16304,3995;17;Point;9,714327418;34239;0,036517893
relation/5802139;7;administrative;SCBD;relation/5802139;Palmerah;DKI Jakarta;Jakarta Barat;Kota Bambu Utara;;boundary;0,64;49900,9122;18;Point;3,545180830;31937;0,610466699
relation/5802140;7;administrative;SCBD;relation/5802140;Tanjung Priok;DKI Jakarta;Jakarta Utara;Tanjung Priok;Sungai Lagoa;boundary;5,54;7918,0505;19;Point;11,840692874;43866;0,331976746
